seed,sample,ranking_score
1,0,0.7417156519139825
1,1,0.7481007666786578
1,2,0.749189730613708
1,3,0.7391806605379747
1,4,0.7403213133574572
13,0,0.7432234691787365
13,1,0.7515604377815983
13,2,0.7468745333501091
13,3,0.7418408913042733
13,4,0.7525336755071595
17,0,0.8111572190982652
17,1,0.8124174268560467
17,2,0.817207187593472
17,3,0.8080383366579402
17,4,0.810956603309239
21,0,0.7506139698628768
21,1,0.7644125788940169
21,2,0.7585434653242454
21,3,0.7528664522163584
21,4,0.7585899104175382
42,0,0.7811405705483592
42,1,0.7797774850488585
42,2,0.7761617159715213
42,3,0.7748359087161807
42,4,0.7851160068738284
133,0,0.8107845589275638
133,1,0.8049296836308694
133,2,0.810233694210774
133,3,0.812643237380765
133,4,0.8071268229711082
177,0,0.818571729215762
177,1,0.8027407397173736
177,2,0.8117245884726144
177,3,0.8115221433999458
177,4,0.8147230808050313
213,0,0.8183746252162608
213,1,0.8245426869372422
213,2,0.82131080234543
213,3,0.8192849168823497
213,4,0.8169899098759802
315,0,0.8139153457359394
315,1,0.8131204248620333
315,2,0.8178873546935692
315,3,0.816688458610332
315,4,0.8067227362768249
1001,0,0.8210835099808217
1001,1,0.8216472227335639
1001,2,0.8196905633472862
1001,3,0.8254417794425395
1001,4,0.8157257209896732
