seed,sample,ranking_score
1,0,0.7114436416487311
1,1,0.7219720193767107
1,2,0.7071016304980687
1,3,0.6141364010237905
1,4,0.697542181420986
2,0,0.7312057525193404
2,1,0.7205681047656458
2,2,0.7285693107048901
2,3,0.7168704120690763
2,4,0.7316371804815488
5,0,0.7271765340105003
5,1,0.7362317440313918
5,2,0.7507395762517622
5,3,0.7342106424682834
5,4,0.7235022645093552
10,0,0.6988921461314832
10,1,0.6721015813159779
10,2,0.7180631368823183
10,3,0.715907809269873
10,4,0.7102042853990216
