seed,sample,ranking_score
1,0,0.747636796694225
1,1,0.7557008989424859
1,2,0.7560173226180192
1,3,0.7485109995729454
1,4,0.7481330496531492
13,0,0.8034379094680472
13,1,0.813794832718912
13,2,0.8165834342850945
13,3,0.7952606090151075
13,4,0.8246373451032664
17,0,0.7960286739302213
17,1,0.7919605240682371
17,2,0.8100353417832623
17,3,0.7983730281977863
17,4,0.8012691300996336
21,0,0.7671517022130124
21,1,0.7703761678249272
21,2,0.7667831621611643
21,3,0.7568685578984689
21,4,0.7666797040890613
42,0,0.8087258258779652
42,1,0.8065119949181584
42,2,0.7996446691423157
42,3,0.7941663321740209
42,4,0.8078791339803744
133,0,0.8086906611094768
133,1,0.7929458335191976
133,2,0.801085870443418
133,3,0.8062287843497867
133,4,0.7915859405685511
177,0,0.7741432322207442
177,1,0.7587356016857466
177,2,0.7733137289396131
177,3,0.7716744227268904
177,4,0.7718519662604476
213,0,0.808210280817532
213,1,0.8099177733639622
213,2,0.8107097587738145
213,3,0.7950198846800642
213,4,0.8146832332181152
315,0,0.7990668344254274
315,1,0.7962823338118926
315,2,0.8111368812664841
315,3,0.8091081667439067
315,4,0.797912999455519
1001,0,0.8150815960312593
1001,1,0.8242008865373857
1001,2,0.8305204434002783
1001,3,0.8143808551378479
1001,4,0.8136682561364633
