seed,sample,ranking_score
1,0,0.7930704616703459
1,1,0.7949814018031225
1,2,0.7898573786441777
1,3,0.7904178879560374
1,4,0.7889810502153125
13,0,0.813581668784012
13,1,0.8077195355926703
13,2,0.7965892894585181
13,3,0.8037302757466169
13,4,0.8109026448559232
17,0,0.8059744914703321
17,1,0.8103850956888151
17,2,0.8064391260838313
17,3,0.8083020901309997
17,4,0.8102217251298294
21,0,0.8033792661149494
21,1,0.8034822913144548
21,2,0.8090343749980555
21,3,0.8021626753655624
21,4,0.801007730662412
42,0,0.7985523843763606
42,1,0.8008032775986298
42,2,0.7999309182497465
42,3,0.8049855394838094
42,4,0.8054067488136428
133,0,0.8022801067559846
133,1,0.7944281552756194
133,2,0.7961835537735985
133,3,0.7998156077042949
133,4,0.8067238900889396
177,0,0.8116086725210546
177,1,0.7960640706609459
177,2,0.8084723759469706
177,3,0.8086088226873113
177,4,0.8098656214896288
213,0,0.8153511986550038
213,1,0.8109378612219861
213,2,0.8242369687307631
213,3,0.814164448878864
213,4,0.8162911770906989
315,0,0.7955245090358644
315,1,0.8024853448492022
315,2,0.7985410315984132
315,3,0.8059815445035053
315,4,0.7864837363349559
1001,0,0.8076248154745415
1001,1,0.8203982653335115
1001,2,0.8193519662969571
1001,3,0.8245073885526355
1001,4,0.8108145282937473
