seed,sample,ranking_score
1,0,0.7723164785564361
1,1,0.7691992417657806
1,2,0.7609308511177401
1,3,0.7856509255659839
1,4,0.7709625550592065
13,0,0.7748585711805112
13,1,0.7863150586324494
13,2,0.7744705154142391
13,3,0.7774196984533998
13,4,0.7789657990445863
17,0,0.7591325239594964
17,1,0.7521140975712058
17,2,0.7714038480791123
17,3,0.7696731020452041
17,4,0.7709704121853573
21,0,0.7446481800760448
21,1,0.7744657006344567
21,2,0.770441424500352
21,3,0.7418030955834228
21,4,0.7452270780513865
42,0,0.762210312867199
42,1,0.78225662806217
42,2,0.7504887814080511
42,3,0.771723756184631
42,4,0.7856320627095713
133,0,0.7825511562608448
133,1,0.7747413275705228
133,2,0.7769743170148627
133,3,0.7728095293231638
133,4,0.7811931932233124
177,0,0.7613221693769046
177,1,0.7378906533919803
177,2,0.7629206448838051
177,3,0.7700112755421121
177,4,0.7687315127385443
213,0,0.7813010775269118
213,1,0.795379227258241
213,2,0.7796125389198664
213,3,0.7797982939245371
213,4,0.7963169247544655
315,0,0.7869860309145325
315,1,0.7777513072692567
315,2,0.7830200001643517
315,3,0.766925132696056
315,4,0.7667067508987905
1001,0,0.7676523727333913
1001,1,0.7839055853858345
1001,2,0.7701132415634001
1001,3,0.776760642417404
1001,4,0.7784218674453374
