,original_index,ptm,iptm,chain_ptm_A,chain_pair_iptm_A_B,chain_pair_iptm_A_M,chain_pair_iptm_A_P,chain_ptm_B,chain_pair_iptm_B_M,chain_pair_iptm_B_P,chain_ptm_M,chain_pair_iptm_M_P,chain_ptm_P,avg_plddt,avg_pae,avg_pae_A,min_pae_A,max_pae_A,avg_plddt_A,min_plddt_A,max_plddt_A,avg_pae_interaction_A_B,min_pae_interaction_A_B,max_pae_interaction_A_B,avg_contact_probs_A_B,min_contact_probs_A_B,max_contact_probs_A_B,avg_pae_interaction_A_M,min_pae_interaction_A_M,max_pae_interaction_A_M,avg_contact_probs_A_M,min_contact_probs_A_M,max_contact_probs_A_M,avg_pae_interaction_A_P,min_pae_interaction_A_P,max_pae_interaction_A_P,avg_contact_probs_A_P,min_contact_probs_A_P,max_contact_probs_A_P,avg_pae_B,min_pae_B,max_pae_B,avg_plddt_B,min_plddt_B,max_plddt_B,avg_pae_interaction_B_M,min_pae_interaction_B_M,max_pae_interaction_B_M,avg_contact_probs_B_M,min_contact_probs_B_M,max_contact_probs_B_M,avg_pae_interaction_B_P,min_pae_interaction_B_P,max_pae_interaction_B_P,avg_contact_probs_B_P,min_contact_probs_B_P,max_contact_probs_B_P,avg_pae_M,min_pae_M,max_pae_M,avg_plddt_M,min_plddt_M,max_plddt_M,avg_pae_interaction_M_P,min_pae_interaction_M_P,max_pae_interaction_M_P,avg_contact_probs_M_P,min_contact_probs_M_P,max_contact_probs_M_P,avg_pae_P,min_pae_P,max_pae_P,avg_plddt_P,min_plddt_P,max_plddt_P
0,0,0.68,0.63,0.68,0.74,0.48,0.63,0.71,0.49,0.66,0.63,0.94,0.03,80.29228967559563,16.99641210038467,12.530790702740976,0.8,31.7,79.53906954436452,22.03,97.53,12.651285423745325,1.4,31.7,0.002679478279931314,0.0,1.0,21.645702957029567,4.2,31.7,0.00018640186401864018,0.0,0.65,16.016466789667895,4.0,31.5,0.001734317343173432,0.0,0.81,10.787744120946748,0.8,31.6,83.68216603455541,20.53,98.12,20.9938756070729,3.7,31.7,0.00022279463718729594,0.0,0.81,15.059591584158415,4.2,31.6,0.0013118811881188122,0.0,0.46,15.753794405152723,0.8,31.7,77.88531475748195,12.29,97.96,12.18843157181572,1.4,31.7,0.015016937669376694,0.0,0.99,1.9578125,0.8,5.5,88.46984375,69.17,94.2
1,1,0.74,0.72,0.7,0.77,0.64,0.82,0.73,0.65,0.84,0.68,0.94,0.03,81.36634136492124,15.143679739407636,12.231821462126058,0.8,31.7,79.75563549160671,19.04,97.72,12.123420773811695,1.3,31.7,0.002668517774286654,0.0,1.0,18.554271542715426,2.3,31.7,0.0002761027610276103,0.0,0.94,12.407126383763837,2.6,31.3,0.003966789667896679,0.0,0.92,10.158094522323522,0.8,31.6,85.03746312684366,20.31,98.24,17.848399026894562,1.9,31.7,0.00022771382829339846,0.0,0.93,11.277495874587459,2.0,31.4,0.002904290429042905,0.0,0.93,14.676128994352277,0.8,31.7,79.3209047127623,10.82,98.12,11.040904471544716,1.2,31.7,0.015064363143631436,0.0,0.99,1.7953125,0.8,4.8,90.629375,81.17,94.21
2,2,0.67,0.6,0.68,0.74,0.45,0.65,0.73,0.51,0.74,0.56,0.95,0.03,79.9114406893766,17.602827134874875,12.44088341450979,0.8,31.7,77.74112895606991,18.97,97.5,12.369930729336671,1.3,31.7,0.002627449558142627,0.0,1.0,22.744336004695118,4.0,31.7,0.00027411814704632385,0.0,0.79,15.546845746845747,3.8,31.6,0.0024501424501424504,0.0,0.57,10.249221753858555,0.8,31.6,84.03867653276954,17.52,97.96,21.956105154714365,2.6,31.7,0.00017085133927757418,0.0,0.91,14.1999633296663,2.5,31.6,0.0045141180784745135,0.0,0.87,17.65622920545771,0.8,31.7,78.01371696801112,9.91,98.37,14.11378146101903,1.2,31.7,0.014861878453038675,0.0,1.0,2.0925925925925926,0.8,5.7,84.13594202898551,59.75,93.32
3,3,0.69,0.64,0.68,0.75,0.53,0.66,0.73,0.53,0.68,0.57,0.85,0.02,80.10171194190424,17.271445770798845,12.624645440030054,0.8,31.7,78.57049598488426,18.69,97.99,12.541946227589793,1.3,31.7,0.002554793940932555,0.0,1.0,21.762655070527998,3.7,31.7,0.0002568150081962237,0.0,0.88,16.729652014652014,4.1,31.4,0.0038168498168498176,0.0,0.66,10.497660360095415,0.8,31.6,84.38838900634249,18.89,98.3,21.302719125503714,3.4,31.7,0.00015708476925040574,0.0,0.89,16.059125412541256,3.3,31.5,0.004468646864686469,0.0,0.91,17.26442339977412,0.8,31.7,77.92800417246175,9.37,97.82,16.045345303867403,1.4,31.7,0.01365193370165746,0.0,0.99,4.39,0.8,11.1,71.8347435897436,41.89,88.26
