,original_index,af3_seed,af3_sample,ptm,iptm,chain_ptm_A,chain_pair_iptm_A_B,chain_pair_iptm_A_M,chain_pair_iptm_A_P,chain_ptm_B,chain_pair_iptm_B_M,chain_pair_iptm_B_P,chain_ptm_M,chain_pair_iptm_M_P,chain_ptm_P,avg_plddt,avg_pae,avg_pae_A,min_pae_A,max_pae_A,avg_plddt_A,min_plddt_A,max_plddt_A,avg_pae_interaction_A_B,min_pae_interaction_A_B,max_pae_interaction_A_B,avg_contact_probs_A_B,min_contact_probs_A_B,max_contact_probs_A_B,avg_pae_interaction_A_M,min_pae_interaction_A_M,max_pae_interaction_A_M,avg_contact_probs_A_M,min_contact_probs_A_M,max_contact_probs_A_M,avg_pae_interaction_A_P,min_pae_interaction_A_P,max_pae_interaction_A_P,avg_contact_probs_A_P,min_contact_probs_A_P,max_contact_probs_A_P,avg_pae_B,min_pae_B,max_pae_B,avg_plddt_B,min_plddt_B,max_plddt_B,avg_pae_interaction_B_M,min_pae_interaction_B_M,max_pae_interaction_B_M,avg_contact_probs_B_M,min_contact_probs_B_M,max_contact_probs_B_M,avg_pae_interaction_B_P,min_pae_interaction_B_P,max_pae_interaction_B_P,avg_contact_probs_B_P,min_contact_probs_B_P,max_contact_probs_B_P,avg_pae_M,min_pae_M,max_pae_M,avg_plddt_M,min_plddt_M,max_plddt_M,avg_pae_interaction_M_P,min_pae_interaction_M_P,max_pae_interaction_M_P,avg_contact_probs_M_P,min_contact_probs_M_P,max_contact_probs_M_P,avg_pae_P,min_pae_P,max_pae_P,avg_plddt_P,min_plddt_P,max_plddt_P,af3_ranking
0,0,1,0,0.65,0.59,0.69,0.75,0.37,0.52,0.71,0.4,0.58,0.65,0.94,0.03,80.38436801722978,17.372492179906917,12.348372162688417,0.8,31.7,79.31458513189449,20.81,97.74,12.377322104904218,1.4,31.7,0.002661454337315651,0.0,1.0,22.664700147001472,6.1,31.7,0.00019160191601916022,0.0,0.64,17.793104243542437,5.6,31.5,0.0027629151291512907,0.0,0.7,10.43808450151946,0.8,31.6,84.10534766118836,20.22,98.19,22.20424705072133,5.5,31.7,0.00022574615185095743,0.0,0.67,16.981064356435642,5.4,31.4,0.0027062706270627058,0.0,0.63,15.323907726882151,0.8,31.7,77.99317509459924,11.73,98.1,11.794834010840109,1.3,31.7,0.015094850948509483,0.0,0.99,2.0109375,0.8,6.1,85.88140625,65.17,93.78,0.7114436416487311
1,0,1,1,0.65,0.6,0.69,0.75,0.39,0.54,0.72,0.41,0.59,0.66,0.94,0.03,80.51201642212949,17.15965771820243,12.347570158358408,0.8,31.7,79.55365947242207,20.56,97.82,12.371836371829065,1.4,31.7,0.002661454337315651,0.0,1.0,22.26608816088161,5.8,31.7,0.00019160191601916022,0.0,0.64,17.325023062730626,5.4,31.5,0.0027629151291512907,0.0,0.7,10.44599004454901,0.8,31.6,84.28412979351032,20.56,98.26,21.788095557523228,5.3,31.7,0.00022574615185095743,0.0,0.67,16.54859735973597,5.1,31.5,0.0027062706270627058,0.0,0.63,15.22095019866188,0.8,31.7,77.98063983488132,11.86,98.22,11.570240514905151,1.3,31.7,0.015094850948509483,0.0,0.99,1.9515625,0.8,6.0,86.85046874999999,65.93,94.22,0.7219720193767107
2,0,1,2,0.64,0.58,0.69,0.74,0.37,0.51,0.71,0.39,0.56,0.65,0.94,0.03,80.4688975636021,17.38948431061001,12.356732615296632,0.8,31.7,79.38003836930456,20.6,97.79,12.428872407535955,1.4,31.7,0.002661454337315651,0.0,1.0,22.663385133851342,6.3,31.7,0.00019160191601916022,0.0,0.64,17.861070110701107,5.9,31.5,0.0027629151291512907,0.0,0.7,10.536938644359486,0.8,31.6,84.06352718078382,19.96,98.18,22.23895283837327,5.7,31.7,0.00022574615185095743,0.0,0.67,17.09424504950495,5.6,31.5,0.0027062706270627058,0.0,0.63,15.247321920373672,0.8,31.7,78.19337805297558,11.9,98.13,11.676456639566396,1.3,31.7,0.015094850948509483,0.0,0.99,1.978125,0.8,6.1,86.018125,65.25,93.91,0.7071016304980687
3,0,1,3,0.58,0.49,0.69,0.75,0.22,0.33,0.72,0.22,0.36,0.64,0.94,0.03,79.67648404899717,19.317829148795724,12.303464005119755,0.8,31.7,78.954206235012,20.83,97.8,12.366712944357166,1.4,31.7,0.002661454337315651,0.0,1.0,26.49151341513415,7.4,31.7,0.00019160191601916022,0.0,0.64,21.542158671586712,7.1,31.5,0.0027629151291512907,0.0,0.7,10.46144168872333,0.8,31.6,83.63698272229246,20.12,98.26,26.37804430849589,8.3,31.7,0.00022574615185095743,0.0,0.67,21.169595709570956,7.0,31.5,0.0027062706270627058,0.0,0.63,15.52496676728285,0.8,31.7,76.90478500172,11.9,98.05,11.736720867208671,1.2,31.7,0.015094850948509483,0.0,0.99,1.8703125,0.8,5.7,82.25484374999999,63.76,93.41,0.6141364010237905
4,0,1,4,0.64,0.57,0.69,0.74,0.35,0.49,0.71,0.37,0.55,0.64,0.94,0.03,80.15379593484992,17.622600594205448,12.363030187497447,0.8,31.7,79.11583213429257,20.92,97.67,12.405590466795758,1.4,31.7,0.002661454337315651,0.0,1.0,23.074131741317416,6.4,31.7,0.00019160191601916022,0.0,0.64,18.141835793357934,6.2,31.5,0.0027629151291512907,0.0,0.7,10.478931259462579,0.8,31.6,83.90079224610197,20.29,98.15,22.696228769218386,6.1,31.7,0.00022574615185095743,0.0,0.67,17.3045998349835,5.9,31.4,0.0027062706270627058,0.0,0.63,15.47906963080471,0.8,31.7,77.71660130718955,11.91,98.04,11.900575880758808,1.3,31.7,0.015094850948509483,0.0,0.99,1.9781250000000001,0.8,6.1,85.7390625,64.94,93.94,0.697542181420986
5,0,2,0,0.66,0.61,0.7,0.75,0.41,0.58,0.72,0.43,0.63,0.65,0.94,0.03,80.80383362498317,16.87856868800455,12.110374314075248,0.8,31.7,79.75364508393284,20.91,97.8,12.134001315260678,1.4,31.7,0.002676190128237916,0.0,1.0,21.881795317953177,5.1,31.7,0.00018900189001890022,0.0,0.72,16.685862546125463,5.0,31.5,0.0027813653136531365,0.0,0.75,10.19451360977682,0.8,31.6,84.53642646439107,20.14,98.29,21.325721108696232,4.4,31.7,0.0002249411933063225,0.0,0.72,15.815532178217822,4.8,31.5,0.0030280528052805283,0.0,0.73,15.298461380277757,0.8,31.7,78.37835225318197,11.86,98.09,11.801575203252034,1.3,31.7,0.01507791327913279,0.0,0.99,2.04375,0.8,6.4,86.789375,65.59,94.05,0.7312057525193404
6,0,2,1,0.65,0.6,0.69,0.75,0.39,0.55,0.72,0.4,0.58,0.65,0.93,0.03,79.86689594831067,17.056527801273994,12.134661837393283,0.8,31.7,79.31292565947243,20.67,97.74,12.194737739456603,1.4,31.7,0.002676190128237916,0.0,1.0,22.132493324933247,5.9,31.7,0.00018900189001890022,0.0,0.72,17.10618081180812,5.5,31.5,0.0027813653136531365,0.0,0.75,10.276336742585148,0.8,31.6,83.95057311420145,19.36,98.19,21.645412183494773,5.1,31.7,0.0002249411933063225,0.0,0.72,16.308374587458747,5.5,31.5,0.0030280528052805283,0.0,0.73,15.416656751933372,0.8,31.7,76.80439628482972,11.8,98.01,11.75840108401084,1.3,31.7,0.01507791327913279,0.0,0.99,2.0296875,0.8,6.4,85.60359375,64.74,93.43,0.7205681047656458
7,0,2,2,0.66,0.61,0.7,0.75,0.4,0.57,0.72,0.43,0.63,0.65,0.94,0.03,80.77025710055189,16.92401291020245,12.047020056916436,0.8,31.7,79.69730455635491,20.94,97.78,12.108161923203392,1.4,31.7,0.002676190128237916,0.0,1.0,22.01975469754698,5.4,31.7,0.00018900189001890022,0.0,0.72,16.75103782287823,5.2,31.5,0.0027813653136531365,0.0,0.75,10.192166345347408,0.8,31.6,84.46669616519173,20.54,98.22,21.435337680109477,4.5,31.7,0.0002249411933063225,0.0,0.72,15.868193069306932,4.9,31.4,0.0030280528052805283,0.0,0.73,15.283009084833395,0.8,31.7,78.38423460612316,11.66,98.16,11.747120596205962,1.3,31.7,0.01507791327913279,0.0,0.99,1.9781250000000004,0.8,6.2,87.045625,65.92,94.01,0.7285693107048901
8,0,2,3,0.65,0.59,0.69,0.74,0.39,0.54,0.71,0.4,0.58,0.65,0.93,0.03,80.14528738726614,17.13779927266776,12.181248893669746,0.8,31.7,79.45023501199042,20.63,97.67,12.25413819979784,1.4,31.7,0.002676190128237916,0.0,1.0,22.311060110601108,5.9,31.7,0.00018900189001890022,0.0,0.72,17.30288284132841,5.5,31.5,0.0027813653136531365,0.0,0.75,10.338872006012483,0.8,31.6,84.0674336283186,20.72,98.15,21.788649190122264,5.0,31.7,0.0002249411933063225,0.0,0.72,16.442677392739277,5.3,31.4,0.0030280528052805283,0.0,0.73,15.309449842465904,0.8,31.7,77.31430340557276,12.19,97.99,11.747510162601625,1.4,31.7,0.01507791327913279,0.0,0.99,2.015625,0.8,6.2,85.9515625,64.69,93.67,0.7168704120690763
9,0,2,4,0.66,0.61,0.7,0.75,0.41,0.58,0.72,0.42,0.62,0.65,0.94,0.03,80.41073764975097,16.931932627230623,12.000394874797456,0.8,31.7,79.77156354916066,20.93,97.78,12.066592987712056,1.4,31.7,0.002676190128237916,0.0,1.0,21.93418934189342,5.2,31.7,0.00018900189001890022,0.0,0.72,16.534524907749077,5.0,31.5,0.0027813653136531365,0.0,0.75,10.164968576065528,0.8,31.6,84.39436156763591,20.58,98.25,21.462306921749086,4.7,31.7,0.0002249411933063225,0.0,0.72,15.730383663366336,5.0,31.4,0.0030280528052805283,0.0,0.73,15.517658507208377,0.8,31.7,77.46797729618163,11.7,98.07,11.856944444444444,1.3,31.7,0.01507791327913279,0.0,0.99,1.9953124999999998,0.8,6.1,87.19421875,66.24,94.06,0.7316371804815488
