seed,sample,ranking_score
1,0,0.8060032815782103
1,1,0.818848627684635
1,2,0.8069903136687462
1,3,0.8089550812483215
1,4,0.8051969872142725
13,0,0.748066944876325
13,1,0.757699537309607
13,2,0.7415436233402724
13,3,0.7578011928448493
13,4,0.7554760072564941
17,0,0.8018834173441924
17,1,0.806286305074096
17,2,0.806928969679983
17,3,0.8018276813774925
17,4,0.8049427444983364
21,0,0.7481664246426681
21,1,0.7593882731728402
21,2,0.7549992377340218
21,3,0.749870881777976
21,4,0.7574094803415173
42,0,0.76215053687076
42,1,0.773830015210229
42,2,0.7715869996245802
42,3,0.7558424185875817
42,4,0.7821565978472108
133,0,0.7981260398483713
133,1,0.7866079486183343
133,2,0.7972004273660024
133,3,0.793088536669883
133,4,0.7927592404623195
177,0,0.7578228020145052
177,1,0.7443799282557789
177,2,0.7538611813815275
177,3,0.7553647647599435
177,4,0.7543218600599805
213,0,0.7634539140887954
213,1,0.761801666330553
213,2,0.7664453822887132
213,3,0.7654586472430648
213,4,0.7682445321683676
315,0,0.7894870753517659
315,1,0.788252585791285
315,2,0.7954654023624239
315,3,0.7978012735194077
315,4,0.784734725705779
1001,0,0.8075816593433444
1001,1,0.8158914319535138
1001,2,0.8150013216407663
1001,3,0.8155089293292166
1001,4,0.8010342598189156
