tcr_epitope,seed_sample,overall_rmsd,chain_0_rmsd,chain_0_0_aligned_rmsd,chain_0_1_aligned_rmsd,chain_0_2_aligned_rmsd,chain_0_3_aligned_rmsd,chain_1_rmsd,chain_1_0_aligned_rmsd,chain_1_1_aligned_rmsd,chain_1_2_aligned_rmsd,chain_1_3_aligned_rmsd,chain_2_rmsd,chain_2_0_aligned_rmsd,chain_2_1_aligned_rmsd,chain_2_2_aligned_rmsd,chain_2_3_aligned_rmsd,chain_3_rmsd,chain_3_0_aligned_rmsd,chain_3_1_aligned_rmsd,chain_3_2_aligned_rmsd,chain_3_3_aligned_rmsd
mel8_mrp3,seed-1001_sample-1_seed-177_sample-1,0.39468470215797424,0.3208737,0.3210111,0.35781792,0.7759414,0.52067137,0.29512924,0.36704376,0.2952746,0.6881608,0.4894975,0.37714496,0.7149116,0.6120866,0.3776742,0.44043773,0.016959604,0.19807936,0.12948278,0.14031,0.017488493
mel8_mrp3,seed-1001_sample-1_seed-42_sample-2,0.5654053688049316,0.15395351,0.15400282,0.20729215,0.49788374,0.46411708,0.10469283,0.20283678,0.10472545,0.43497387,0.42994398,0.8301801,0.93445814,0.98541284,0.8306198,0.99757034,0.01312378,0.19046508,0.13117932,0.13937484,0.013556603
mel8_mrp3,seed-1001_sample-1_seed-133_sample-4,0.8162429928779602,0.29677066,0.29705292,0.3330383,0.4877824,0.38500652,0.19349846,0.27844802,0.19404069,0.35590672,0.34550413,1.2519821,1.3250942,1.3530256,1.25293,1.421472,0.011125958,0.14117345,0.10686055,0.24762413,0.011749305
mel8_mrp3,seed-1001_sample-1_seed-17_sample-3,0.5702876448631287,0.19584581,0.19589213,0.22878133,0.74310684,0.5525451,0.21166424,0.26276568,0.211918,0.8946679,0.49846426,0.7234399,0.98767686,0.97189766,0.7240159,1.1373594,0.0147587,0.20345743,0.07941632,0.25458646,0.016494982
mel8_mrp3,seed-1001_sample-1_seed-13_sample-1,0.47979065775871277,0.3211064,0.32126355,0.38505298,0.6883464,0.42181444,0.31489447,0.426471,0.31547388,0.5346179,0.3828718,0.5388905,0.83839506,0.747067,0.5393813,0.68147296,0.013257533,0.28069225,0.2274386,0.1913363,0.014018649
mel8_mrp3,seed-1001_sample-1_seed-1_sample-3,0.4881992042064667,0.18078682,0.18085308,0.25512174,0.9011838,0.5034527,0.2521931,0.34464124,0.25273335,0.82490015,0.5047771,0.5047876,0.89349777,0.90421706,0.506178,0.9239412,0.006898431,0.2229586,0.19351053,0.21036044,0.007621946
mel8_mrp3,seed-1001_sample-1_seed-21_sample-4,0.7230689525604248,0.17233022,0.17238502,0.2280624,1.4431258,0.27346355,0.16474985,0.24193314,0.16490148,1.0377669,0.18777567,0.88493776,1.3474149,1.2405721,0.8873629,1.2083539,0.0062224735,0.17734647,0.09184213,0.39242706,0.008518227
mel8_mrp3,seed-1001_sample-1_seed-315_sample-0,0.31594595313072205,0.242948,0.24325983,0.26267096,0.381868,0.73609364,0.239831,0.2828803,0.24039301,0.33306426,0.6984243,0.3157875,0.72696155,0.5895317,0.3160673,0.45186222,0.011612474,0.2664172,0.19627984,0.16896652,0.013028893
mel8_mrp3,seed-1001_sample-1_seed-13_sample-4,0.4463163912296295,0.29026857,0.29055595,0.35155958,0.6951902,0.40924308,0.25871214,0.37577987,0.2590691,0.5761165,0.3456522,0.44664487,0.84322184,0.7083889,0.44740748,0.7005985,0.010944474,0.24274631,0.15918723,0.2245303,0.012538061
mel8_mrp3,seed-1001_sample-1_seed-213_sample-0,0.5209710597991943,0.102023385,0.102040984,0.12681885,0.8220651,0.6048025,0.20598677,0.22983973,0.20621596,0.9414395,0.6498872,0.69143295,0.88634825,0.88824934,0.69221395,1.0263951,0.015533177,0.16057076,0.16164076,0.47623315,0.01577233
mel8_mrp3,seed-21_sample-1_seed-315_sample-3,0.7905513048171997,0.42924097,0.42947426,0.47004518,1.2915341,0.77229536,0.22833505,0.33042258,0.22866984,1.4296863,0.586722,0.8900146,1.643931,1.3960809,0.89113826,1.3127058,0.014134877,0.30477497,0.20903608,0.32647353,0.015284271
mel8_mrp3,seed-21_sample-1_seed-21_sample-2,0.9155511260032654,0.34131387,0.34164265,0.43052804,2.301107,0.51955515,0.16123246,0.39623138,0.1613954,1.9764516,0.25786182,1.0696514,1.5015731,1.6047502,1.072396,1.686196,0.010830602,0.35406527,0.11292775,0.751575,0.012684386
mel8_mrp3,seed-21_sample-1_seed-17_sample-4,0.8114835023880005,0.24784812,0.24800546,0.28978246,1.9361348,0.5303408,0.13754334,0.20114852,0.13767555,1.6855797,0.39157054,1.0254428,1.3328366,1.3799752,1.0292904,1.4722606,0.012706576,0.22805226,0.13596971,0.6414258,0.029754568
mel8_mrp3,seed-21_sample-1_seed-1001_sample-0,0.5363327264785767,0.261613,0.26168045,0.334682,1.287491,0.3666826,0.12756944,0.30876866,0.1279692,1.3240191,0.19640031,0.6177176,0.9023743,0.9187322,0.6185449,0.9668959,0.011022618,0.23909807,0.100854985,0.39734057,0.013956772
mel8_mrp3,seed-21_sample-1_seed-177_sample-2,0.5816560387611389,0.36266795,0.36290127,0.39341187,1.0273666,0.58396596,0.089623995,0.20179254,0.08981793,0.72675323,0.37506333,0.7281657,1.0942849,0.9551082,0.7303097,1.0001917,0.014165206,0.32641974,0.07286568,0.33359838,0.014539739
mel8_mrp3,seed-21_sample-1_seed-21_sample-0,0.713864266872406,0.36151063,0.36185214,0.4149924,1.8237336,0.39961344,0.09281348,0.19176586,0.09291064,1.452495,0.25914428,0.77957785,1.2653333,1.3094931,0.7813749,1.24932,0.007102772,0.11206969,0.17253746,0.43554103,0.007310568
mel8_mrp3,seed-21_sample-1_seed-1_sample-2,0.4586561322212219,0.21629587,0.21641149,0.26051137,1.1029725,0.37673503,0.16075282,0.264546,0.16089362,1.2280047,0.33737275,0.50948566,0.7810144,0.89707834,0.5101797,0.70408374,0.009838594,0.18104519,0.17337014,0.3200216,0.010832425
mel8_mrp3,seed-21_sample-1_seed-213_sample-4,1.2711067199707031,0.3240575,0.32416382,0.454177,2.5487466,0.52899736,0.38906136,0.46244422,0.38985446,1.7620375,0.53090304,1.4480323,2.2606165,2.3274918,1.454407,2.3971908,0.020035008,0.20917939,0.32188258,0.67992324,0.020637423
mel8_mrp3,seed-21_sample-1_seed-1_sample-1,0.555033802986145,0.19516085,0.19523235,0.22808088,0.63505524,0.601,0.17328288,0.24689573,0.17341177,0.7387894,0.48556602,0.7393652,0.98881084,0.92716265,0.7405108,0.96564066,0.009045731,0.23351625,0.14333183,0.4318117,0.009565163
mel8_mrp3,seed-21_sample-1_seed-42_sample-3,0.9582241177558899,0.36732763,0.36747214,0.40877262,2.7196882,0.7100096,0.20354888,0.27388236,0.20390001,2.4018998,0.7374285,0.9996454,1.7379106,1.9338658,1.0032318,1.473036,0.012903935,0.16494328,0.27513406,0.56917995,0.013123722
mel8_mrp3,seed-21_sample-1_seed-315_sample-4,0.8245406150817871,0.2600448,0.26011452,0.29187524,1.9019606,0.5069502,0.2924557,0.36287105,0.29290116,1.5177429,0.43545443,0.9444718,1.4055897,1.4316623,0.9477487,1.5862197,0.010733306,0.20555049,0.1674743,0.6264094,0.01159921
mel8_mrp3,seed-21_sample-1_seed-42_sample-0,0.6750065088272095,0.36511877,0.3652379,0.42042434,1.3356775,0.44266036,0.3435866,0.4641993,0.34397504,1.4779733,0.4031946,0.7565284,1.0944707,1.1515641,0.75752074,1.0904298,0.012103073,0.32213837,0.12385788,0.5128311,0.013943015
mel8_mrp3,seed-21_sample-1_seed-213_sample-2,0.8997385501861572,0.36748385,0.36781,0.42520848,1.4098483,0.41052184,0.10787785,0.22396213,0.10793904,1.2168864,0.15611379,1.1257222,1.6154233,1.5748934,1.1294421,1.5370907,0.013021647,0.24253246,0.17047563,0.47081274,0.013868777
mel8_mrp3,seed-21_sample-1_seed-177_sample-0,0.9867303967475891,0.23071615,0.23082197,0.28811988,2.202917,0.33765104,0.23147331,0.3430177,0.23181567,1.6114066,0.29744703,1.1043602,1.7409617,1.8104063,1.1079425,1.8514006,0.019425986,0.21180469,0.14084662,0.60857767,0.021291278
mel8_mrp3,seed-21_sample-1_seed-1_sample-0,0.7481399178504944,0.19574346,0.19577315,0.2586342,1.6514028,0.33470094,0.23580997,0.33856404,0.23607478,1.7401131,0.32540217,0.91841155,1.2495924,1.274532,0.91996324,1.3274189,0.018505795,0.19536597,0.1537638,0.67485017,0.033870637
mel8_mrp3,seed-21_sample-1_seed-177_sample-3,0.3946329355239868,0.35899964,0.35929176,0.42128775,0.80967975,0.4453638,0.11846433,0.29377568,0.118603,0.8129313,0.19786899,0.4071447,0.6132716,0.65582967,0.40774176,0.613027,0.018319333,0.28169695,0.16403697,0.30843487,0.018748047
mel8_mrp3,seed-21_sample-1_seed-17_sample-0,0.7642902731895447,0.33574626,0.33632654,0.36890155,1.5627512,0.5971462,0.13336268,0.19045615,0.13369595,1.0809307,0.45663482,0.9574085,1.3437855,1.2509266,0.96067584,1.4814467,0.007627197,0.15518956,0.10841126,0.5086691,0.009196226
