seed,sample,ranking_score
1,0,0.6913728540932484
1,1,0.6905763805098708
1,2,0.6655033360475568
1,3,0.6601381018670935
1,4,0.6763877720097908
2,0,0.7378241027719983
2,1,0.7408204387264321
2,2,0.7434700096801038
2,3,0.7444281104128244
2,4,0.751870046293905
5,0,0.690534685432957
5,1,0.6774003814963109
5,2,0.6825571266848959
5,3,0.6772461073557055
5,4,0.6829623184215414
10,0,0.7570817182085794
10,1,0.7576140318660864
10,2,0.7600068289779589
10,3,0.7480394221863593
10,4,0.7550275787623024
