seed,sample,ranking_score
1,0,0.7102448710017244
1,1,0.7233219191585686
1,2,0.708451937385284
1,3,0.6141885597259189
1,4,0.6966163883864065
2,0,0.7303484427691321
2,1,0.7199286767978921
2,2,0.72893602327269
2,3,0.7169689534312012
2,4,0.7315411413323567
5,0,0.7270065019067808
5,1,0.7358341664489882
5,2,0.7506812341255067
5,3,0.7348939410807541
5,4,0.7233157627060744
10,0,0.6983241516290543
10,1,0.6719204419160241
10,2,0.7183495645902543
10,3,0.7160155203110338
10,4,0.7103004456777227
