,tcr_epitope,seed_sample,overall_rmsd,chain_0_rmsd,chain_0_0_aligned_rmsd,chain_0_1_aligned_rmsd,chain_0_2_aligned_rmsd,chain_0_3_aligned_rmsd,chain_1_rmsd,chain_1_0_aligned_rmsd,chain_1_1_aligned_rmsd,chain_1_2_aligned_rmsd,chain_1_3_aligned_rmsd,chain_2_rmsd,chain_2_0_aligned_rmsd,chain_2_1_aligned_rmsd,chain_2_2_aligned_rmsd,chain_2_3_aligned_rmsd,chain_3_rmsd,chain_3_0_aligned_rmsd,chain_3_1_aligned_rmsd,chain_3_2_aligned_rmsd,chain_3_3_aligned_rmsd,peptide,Ensemble Pairwise RMSD (Å)
305,row_6333,seed-13_sample-4_seed-1_sample-4,4.671646595001221,0.22790404,0.22794586,0.2941664,10.893316,11.906773,0.20309398,0.26470897,0.20314783,9.882335,11.830032,1.7893808,8.864388,8.879226,1.7910203,3.4582615,0.016639816,1.6970068,1.7557048,0.8142435,0.02435744,M5K,0.24357440000000002
306,row_6333,seed-13_sample-4_seed-213_sample-1,0.5144925117492676,0.17034103,0.17035168,0.26676795,0.9015159,0.29133773,0.26244238,0.3487472,0.26260576,0.9966914,0.34971747,0.5220522,1.1189884,0.97852963,0.5224584,0.9462882,0.009927051,0.14844002,0.16435307,0.23128974,0.010712073,M5K,0.10712073000000001
307,row_6333,seed-13_sample-4_seed-1_sample-1,4.076330661773682,0.1454424,0.14553055,0.17600179,10.943016,11.060753,0.16154827,0.19111249,0.16160236,10.833033,11.203497,1.6718308,8.365395,8.326197,1.6747473,2.3739328,0.012348357,3.1956627,3.2860518,0.42948967,0.02157695,M5K,0.2157695
308,row_6333,seed-13_sample-4_seed-315_sample-1,3.723150968551636,0.36550772,0.3655908,0.48783618,9.049768,11.055073,0.4663227,0.5322395,0.4668552,9.223478,11.268115,2.5112755,7.5954623,7.374297,2.5138576,3.3073115,0.015048078,3.4161553,3.589949,1.4114631,0.016199643,M5K,0.16199643
309,row_6333,seed-13_sample-4_seed-1_sample-3,4.417696952819824,0.36566672,0.36570302,0.45239553,9.692746,11.880696,0.18124218,0.32862496,0.18131934,8.748426,11.691466,2.161585,8.251992,8.325854,2.16687,4.5554566,0.014448139,1.8598552,1.8534833,1.1983371,0.0149277765,M5K,0.149277765
310,row_6333,seed-13_sample-4_seed-1001_sample-0,3.44063401222229,0.24960978,0.24970432,0.30591112,6.178514,6.2245016,0.1923188,0.25379524,0.19245502,7.302603,7.552171,0.6310813,7.2606993,7.3313594,0.6324563,0.8100686,0.01591727,1.5972892,1.6908556,0.17852463,0.021050092,M5K,0.21050091999999998
311,row_6333,seed-13_sample-4_seed-133_sample-0,3.9497933387756343,0.8103443,0.8103815,0.9383929,11.009598,11.291612,0.2287979,0.53454834,0.22899167,11.394584,12.014014,1.4807881,8.008017,7.852159,1.4856652,2.6491702,0.01298824,3.896805,4.3530803,0.595035,0.015739683,M5K,0.15739683000000002
312,row_6333,seed-13_sample-4_seed-17_sample-4,0.5557692646980286,0.3026256,0.3027822,0.37086248,1.0260034,0.40435228,0.17881428,0.34080237,0.17894602,1.1059701,0.2625213,0.6606263,1.0629534,0.90434116,0.6613487,0.817467,0.0049795113,0.33824405,0.08525769,0.31562725,0.0057535027,M5K,0.057535027
313,row_6333,seed-13_sample-4_seed-1_sample-2,4.435107707977295,0.27285433,0.27291423,0.3554434,10.851107,11.50324,0.33933657,0.4280127,0.3395607,10.655358,11.464792,2.1656392,9.03145,9.068131,2.168877,2.943453,0.014934987,3.1386602,3.1980138,1.1113446,0.017002897,M5K,0.17002897
314,row_6333,seed-13_sample-4_seed-42_sample-0,3.679248094558716,0.42591402,0.42599085,0.50581723,9.942062,11.255081,0.14066419,0.36765406,0.14076842,10.492729,12.284976,2.0944586,7.6067114,7.458219,2.1018963,3.1549828,0.011177269,4.548683,4.7805943,0.8777745,0.014574878,M5K,0.14574878
315,row_6333,seed-13_sample-4_seed-42_sample-4,3.7303199768066406,0.26234406,0.26247737,0.3058131,9.95784,11.1165695,0.22659813,0.27726895,0.22665097,9.642037,11.0498,1.616582,7.9496675,7.8769045,1.6189293,2.6425142,0.016259758,3.1993148,3.3694336,0.8191164,0.01984195,M5K,0.1984195
316,row_6333,seed-13_sample-4_seed-177_sample-1,4.023585796356201,0.30922043,0.3093646,0.34481052,9.753148,10.995024,0.26984024,0.2989726,0.26992548,10.029116,11.397109,1.989109,7.926817,7.80798,1.9911484,2.406782,0.012980079,4.0093493,3.9670804,0.93130517,0.015301061,M5K,0.15301061
317,row_6333,seed-13_sample-4_seed-17_sample-2,0.609157919883728,0.279889,0.28003812,0.39129665,1.2549686,0.37239835,0.27112138,0.4663587,0.27130157,1.1548897,0.31341502,0.7311797,1.0120671,0.9800765,0.73193985,0.94606733,0.0035659021,0.30478168,0.13505895,0.43068248,0.004333848,M5K,0.043338480000000006
318,row_6333,seed-13_sample-4_seed-13_sample-0,0.4531325995922088,0.40805328,0.40819275,0.5080841,0.8922959,0.5469863,0.17934202,0.44863108,0.17948158,0.75128055,0.26060015,0.4775907,0.82669365,0.6280562,0.47830746,0.6668896,0.0035210461,0.401217,0.09664952,0.26974297,0.0036424322,M5K,0.036424322
319,row_6333,seed-13_sample-4_seed-13_sample-3,0.3792912364006042,0.26125094,0.26139772,0.33880907,0.6183398,0.3761214,0.21976292,0.3704919,0.21985818,0.62463737,0.2983056,0.43462855,0.8607321,0.5932468,0.4348772,0.49030235,0.005198151,0.3288432,0.13271403,0.124291874,0.0053162724,M5K,0.053162723999999995
320,row_6333,seed-13_sample-4_seed-1001_sample-2,2.773599624633789,0.30361688,0.30369443,0.3582944,7.1692557,7.0328646,0.149053,0.25605556,0.14909784,4.7694635,4.796556,1.0710181,5.3057895,5.3131638,1.0723128,1.4863883,0.010908592,2.3760202,2.321742,0.7563508,0.013891791,M5K,0.13891791
321,row_6333,seed-13_sample-4_seed-133_sample-1,3.570434093475342,0.84957415,0.84963906,0.9964927,8.932879,11.240097,0.27028933,0.62732905,0.2703517,9.389451,12.2015505,2.0945861,7.320609,7.024791,2.0973234,3.267019,0.009235847,4.424351,4.9506836,1.2252185,0.012255772,M5K,0.12255772
322,row_6333,seed-21_sample-2_seed-133_sample-4,0.5090510249137878,0.27417523,0.27427554,0.40625632,0.58652246,0.6797232,0.26801288,0.3724845,0.26860315,0.7803332,0.828118,0.6227571,0.7312221,0.8853749,0.62312245,0.6791311,0.0041559716,0.24380404,0.40809909,0.21000262,0.004508384,M5K,0.04508384
323,row_6333,seed-21_sample-2_seed-1_sample-0,1.199381709098816,0.16286919,0.16301703,0.19106315,2.867439,0.61284703,0.14214568,0.1688067,0.14229867,3.2518234,0.7487832,1.2586834,2.2199233,2.2591002,1.2620076,2.4005835,0.004706,0.35078338,0.26353505,0.8319568,0.005529366,M5K,0.05529366
324,row_6333,seed-21_sample-2_seed-133_sample-3,1.3566498756408691,0.545489,0.5455443,0.6003385,2.3865244,0.7891861,0.24438953,0.38010982,0.24456605,2.7712843,0.915451,1.3689733,2.7803624,2.8857067,1.3716544,2.2264004,0.0057590515,0.8835351,1.1702834,0.92521495,0.0072451695,M5K,0.072451695
325,row_6333,seed-21_sample-2_seed-42_sample-1,1.1429980993270874,0.19280034,0.19288757,0.29227644,2.4828875,0.68563724,0.3168771,0.35888135,0.3176645,2.9219365,0.93915176,1.1184658,2.2071757,2.4116547,1.1212269,1.8117393,0.004839215,0.5674451,0.9549273,0.72431433,0.0053450777,M5K,0.053450777
326,row_6333,seed-21_sample-2_seed-213_sample-3,3.8590149879455566,0.5216403,0.5217021,0.6680379,10.345773,11.074434,0.28837854,0.4925423,0.28917572,10.28251,11.410922,1.5649762,7.8792377,7.617977,1.567673,2.4164438,0.011397879,3.5398662,3.7631376,0.62084305,0.014283284,M5K,0.14283284000000002
327,row_6333,seed-21_sample-2_seed-177_sample-2,2.932669878005981,0.43859428,0.43861565,0.5428415,5.5405273,6.2506785,0.38202015,0.4769375,0.38244477,4.8773847,5.983932,1.750827,6.2021937,6.211047,1.7558537,2.5436733,0.004281558,3.8044567,3.9960973,0.77358794,0.004398644,M5K,0.04398644
328,row_6333,seed-21_sample-2_seed-213_sample-0,3.965397119522095,0.44189316,0.44196016,0.5647094,10.584932,11.060398,0.39871067,0.48698586,0.39966637,10.581168,11.396054,1.2449234,8.124766,7.891313,1.247714,2.0498774,0.010462343,3.5756876,3.6512287,0.41788587,0.013228624,M5K,0.13228624
329,row_6333,seed-21_sample-2_seed-315_sample-0,0.7010369300842285,0.38573056,0.38577595,0.43019167,0.9344748,0.7596935,0.20230137,0.27439788,0.20271191,1.0428948,1.0248492,0.6100371,1.4493824,1.6928941,0.6109144,0.85654587,0.003551013,0.8076982,1.1278634,0.4128625,0.009155506,M5K,0.09155506000000001
330,row_6333,seed-21_sample-2_seed-21_sample-1,0.908873736858368,0.22019652,0.22024703,0.32723996,1.5529166,1.044707,0.3291028,0.39314896,0.32977408,1.4840878,1.1442505,0.8847095,1.807724,2.0530434,0.8865683,1.500372,0.006303684,0.3814277,0.71950215,0.6401722,0.011459126,M5K,0.11459126
331,row_6333,seed-21_sample-2_seed-17_sample-1,3.694789171218872,0.79295945,0.79316676,1.022847,9.953041,11.120533,0.33831853,0.8121618,0.33890668,9.877595,11.379178,1.4735231,7.7259235,7.2849636,1.4762355,2.5937476,0.010737254,3.5482633,3.8261,0.7582092,0.012679839,M5K,0.12679839
332,row_6333,seed-21_sample-2_seed-17_sample-3,3.689331769943237,0.54371387,0.5437873,0.68806314,10.199948,11.086581,0.18519245,0.51905125,0.1855548,10.291179,11.380192,1.445283,7.64146,7.409066,1.4479132,2.2203674,0.0106381085,3.563462,3.8434417,0.7110551,0.0129621625,M5K,0.12962162500000002
333,row_6333,seed-21_sample-2_seed-21_sample-3,0.709017813205719,0.28061333,0.28063008,0.36115816,1.1146728,1.1549785,0.38612327,0.43649366,0.38641083,1.1513016,1.4197149,0.6888219,1.2139968,1.3308953,0.6903239,1.6432465,0.0077853263,0.46358642,0.5444068,0.40120322,0.011258008,M5K,0.11258008
334,row_6333,seed-21_sample-2_seed-21_sample-0,0.54286789894104,0.36719695,0.36732578,0.51269966,0.8207413,0.9172742,0.36411884,0.48093963,0.36502585,1.0253795,1.1984831,0.5038513,1.0282968,1.3206458,0.5047594,0.67068416,0.0045804842,0.9155234,1.4187165,0.12463459,0.0074358936,M5K,0.074358936
335,row_6333,seed-21_sample-2_seed-1001_sample-4,2.956371545791626,0.72417796,0.7242253,0.83672285,3.500908,4.1095805,0.16582555,0.5531909,0.16596472,4.430772,3.938902,0.8759581,6.826567,6.8416333,0.87791103,1.4695513,0.011144038,6.9757586,7.1494956,0.48356357,0.024356868,M5K,0.24356868
336,row_6333,seed-21_sample-2_seed-17_sample-0,3.3003289699554443,0.41036326,0.41047263,0.55233234,9.442775,11.084483,0.28163058,0.41503873,0.28231567,9.664613,11.445522,1.4665091,6.9268303,6.7952647,1.468996,2.309179,0.013354291,3.5006864,3.7864292,0.97725445,0.015374154,M5K,0.15374153999999998
337,row_6333,seed-21_sample-2_seed-213_sample-2,3.6181023120880127,0.433939,0.4340121,0.53946024,9.67197,11.069725,0.24643373,0.4480339,0.24671327,9.522698,11.401255,1.7035085,7.5064855,7.3839064,1.7059325,2.6477485,0.009383813,3.5832784,3.8958607,0.8630573,0.012534517,M5K,0.12534517
