seed,sample,ranking_score
1,0,0.6824640979817351
1,1,0.6857084450254438
1,2,0.6941299921915217
1,3,0.6925975976087296
1,4,0.6840677607523072
2,0,0.7196410560845915
2,1,0.7197941862278974
2,2,0.7294161399243404
2,3,0.7138275176992587
2,4,0.7150759005641597
5,0,0.7041011681657813
5,1,0.6875463037564326
5,2,0.6902640436099865
5,3,0.701772236666247
5,4,0.710398383880253
10,0,0.7215899233138708
10,1,0.727121458521153
10,2,0.7305811030431798
10,3,0.7199909159327219
10,4,0.7178649008468286
