seed,sample,ranking_score
1,0,0.6965346272024935
1,1,0.7003014141303017
1,2,0.6988501863543113
1,3,0.6804781352515038
1,4,0.68352040892654
2,0,0.7346697225627565
2,1,0.7392424454762208
2,2,0.7381345097272219
2,3,0.7425381303625155
2,4,0.7427532224673169
5,0,0.6924752276129986
5,1,0.6795156286986377
5,2,0.6832096543897153
5,3,0.6872299961653048
5,4,0.682515845555718
10,0,0.7505793793203228
10,1,0.7550912515358764
10,2,0.757989925076272
10,3,0.7472600883798249
10,4,0.7537851691140144
