seed,sample,ranking_score
1,0,0.7848509443237843
1,1,0.7862006753249888
1,2,0.7885229788107944
1,3,0.7868039620645334
1,4,0.786749869881615
13,0,0.7876486877450243
13,1,0.7901133349632707
13,2,0.7813963619553994
13,3,0.7673528234720072
13,4,0.7949074768207607
17,0,0.7685963243376118
17,1,0.7689377845011209
17,2,0.7749025865169908
17,3,0.7718881712786295
17,4,0.776607459281888
21,0,0.7613209197685715
21,1,0.7717392075719893
21,2,0.7667516146949994
21,3,0.763664252634571
21,4,0.7628794845292701
42,0,0.766718687681684
42,1,0.7706388869527879
42,2,0.7675475203005518
42,3,0.7787351847364838
42,4,0.7744172656595809
133,0,0.7533935681233318
133,1,0.7624975347302183
133,2,0.7514810191413832
133,3,0.7647583655145224
133,4,0.7619086436352099
177,0,0.770159745225567
177,1,0.7437040915014616
177,2,0.7636730669490475
177,3,0.7667075025417281
177,4,0.7635478752514681
213,0,0.7707692748332358
213,1,0.747437205855919
213,2,0.757996608252484
213,3,0.7544939458507485
213,4,0.7540425728430129
315,0,0.7726324962207334
315,1,0.7746164281785174
315,2,0.7574889681753896
315,3,0.7706040377247837
315,4,0.766067381025348
1001,0,0.7754186798553742
1001,1,0.7869269650845656
1001,2,0.7944102629284945
1001,3,0.8011060360997767
1001,4,0.7820210556583045
