seed,sample,ranking_score
1,0,0.781841765928933
1,1,0.7934947680640904
1,2,0.7891516058131673
1,3,0.7924217893977972
1,4,0.7867087153332419
13,0,0.7858771242119775
13,1,0.7805085775982634
13,2,0.7786195381362705
13,3,0.7857941703123514
13,4,0.7822130916860338
17,0,0.7750011098982905
17,1,0.7782704911507705
17,2,0.777790120640975
17,3,0.7810280130340367
17,4,0.7862972736207932
21,0,0.7775064501580701
21,1,0.7697940362859234
21,2,0.7738504205156647
21,3,0.7575205066599613
21,4,0.7620800625755081
42,0,0.7594032668242844
42,1,0.7747545141223864
42,2,0.7687958039655192
42,3,0.7825304113734999
42,4,0.7740284403914419
133,0,0.7724104281867704
133,1,0.7583506144848823
133,2,0.7615669479663144
133,3,0.7635355752246734
133,4,0.7734385866995079
177,0,0.7914200564071014
177,1,0.7692624262211615
177,2,0.7788436440712139
177,3,0.7781846723571157
177,4,0.7768063301037889
213,0,0.7822767745829422
213,1,0.7699015874937444
213,2,0.7790183541326334
213,3,0.7800729722790081
213,4,0.7890307505572159
315,0,0.7706249132973587
315,1,0.7722723187515089
315,2,0.7723120053256349
315,3,0.7864125491562917
315,4,0.7769142527027854
1001,0,0.7749367240251755
1001,1,0.7921289942782636
1001,2,0.7963815218261894
1001,3,0.7974607872913725
1001,4,0.7859112338884766
