seed,sample,ranking_score
1,0,0.8249350176456328
1,1,0.8285211533979548
1,2,0.8265465815427463
1,3,0.8284079243042912
1,4,0.8234078147659137
13,0,0.8210564109580207
13,1,0.8250822843684186
13,2,0.8213637760469276
13,3,0.8243803141097338
13,4,0.8279933588405453
17,0,0.8237884670362029
17,1,0.8268829392482469
17,2,0.8289386245045672
17,3,0.8191979562744178
17,4,0.824582907102141
21,0,0.8294648051655756
21,1,0.8361806847185516
21,2,0.832488671355029
21,3,0.8273545948560985
21,4,0.8357698141804242
42,0,0.8253306835232385
42,1,0.8270151552143603
42,2,0.825262504085255
42,3,0.82398146449157
42,4,0.8267316731329767
133,0,0.825458984825743
133,1,0.8164124149026225
133,2,0.8262332430022029
133,3,0.824448159452426
133,4,0.8184286218165385
177,0,0.8309175128947273
177,1,0.8173465200358575
177,2,0.8260332051059608
177,3,0.8261993294988887
177,4,0.8275084517033761
213,0,0.8312340307922611
213,1,0.8320130096889812
213,2,0.8345686169470915
213,3,0.8340666912732584
213,4,0.832856672414587
315,0,0.830699706449299
315,1,0.8277155773235446
315,2,0.8326779540844647
315,3,0.8328463726396779
315,4,0.8239022028435337
1001,0,0.8364680506151314
1001,1,0.8396935245870026
1001,2,0.837856606563511
1001,3,0.836918080879159
1001,4,0.8279502545728532
