seed,sample,ranking_score
1,0,0.8079576066495793
1,1,0.815020857238706
1,2,0.8127157838821878
1,3,0.8063880432215593
1,4,0.8113763109027038
13,0,0.8164747364318157
13,1,0.8162270777110487
13,2,0.8043220447268025
13,3,0.8150138252123793
13,4,0.8194590235311299
17,0,0.7841704767571801
17,1,0.7834204276290335
17,2,0.7925967689708014
17,3,0.793843128068181
17,4,0.7809639926478401
21,0,0.8085317024187908
21,1,0.811620201744612
21,2,0.8147805012919804
21,3,0.7992291341351974
21,4,0.8088828961809889
42,0,0.7988383521698628
42,1,0.8010500354313016
42,2,0.7939632898097142
42,3,0.8191122803902742
42,4,0.8004121778697
133,0,0.804520416547675
133,1,0.797315085649885
133,2,0.8053817855428937
133,3,0.8029028825699068
133,4,0.8051906154260428
177,0,0.8195962481828152
177,1,0.8036604933625288
177,2,0.8064139285880113
177,3,0.8139857075840108
177,4,0.8148812050745063
213,0,0.8106398778799235
213,1,0.803471360921624
213,2,0.8132133966494263
213,3,0.8147349023341001
213,4,0.8131450895982577
315,0,0.8050379098944842
315,1,0.8086428184116822
315,2,0.8046968033002809
315,3,0.8119141321059061
315,4,0.8035624862738098
1001,0,0.8049572356332533
1001,1,0.821265336850657
1001,2,0.8234228960702944
1001,3,0.8177812732089689
1001,4,0.8162056546286317
